ID_Pedido,Fecha_Pedido,Estación,ID_Cliente,Segmento_Cliente,Región,País,Categoría_Producto,Unidades_Vendidas,Precio_Unitario,Ingresos,Costo
87,2024-03-19,Otoño,C9423,Estándar,Sur,Chile,Ropa,10,100,1000,563.95
88,2025-07-29,Invierno,C4273,Premium,Norte,Chile,Deportes,4,117,468,335.34
89,2024-06-05,Invierno,C4121,Premium,Centro,Perú,Ropa,5,122,610,437.85
90,2024-11-24,Primavera,C5007,Premium,Sur,Colombia,Hogar,14,108,1512,833.94
91,2024-01-18,Verano,C5201,Premium,Sur,Colombia,Electrónica,18,191,3438,2340.26
92,2024-08-05,Invierno,C5756,Premium,Norte,Perú,Deportes,9,171,1539,1039.84
93,2024-02-26,Verano,C4963,Premium,Sur,Chile,Electrónica,25,112,2800,1910.13
94,2025-01-20,Verano,C5360,Económico,Sur,Chile,Hogar,19,35,665,370.34
95,2025-02-20,Verano,C3819,Premium,Norte,Chile,Ropa,28,102,2856,1888.41
96,2025-05-04,Otoño,C6325,Premium,Centro,Colombia,Electrónica,12,151,1812,1116.45
97,2025-03-03,Otoño,C8887,Estándar,Sur,Colombia,Electrónica,12,79,948,539.28
98,2024-01-11,Verano,C9700,Estándar,Norte,Chile,Ropa,22,74,1628,1016.65
99,2024-11-11,Primavera,C3483,Estándar,Centro,Perú,Electrónica,10,100,1000,734.03
100,2024-04-29,Otoño,C5321,Premium,Norte,Perú,Ropa,14,155,2170,1457.17
101,2024-11-11,Primavera,C9635,Estándar,Centro,Chile,Ropa,9,73,657,481.11
102,2025-08-27,Invierno,C3201,Premium,Sur,Colombia,Hogar,7,184,1288,812.02
103,2025-08-02,Invierno,C8239,Premium,Sur,Perú,Hogar,8,106,848,576.31
104,2024-10-01,Primavera,C7392,Económico,Sur,Colombia,Deportes,9,49,441,260.73
105,2024-01-02,Verano,C1191,Premium,Centro,Perú,Electrónica,14,116,1624,1028.28
106,2024-04-01,Otoño,C1545,Estándar,Norte,Chile,Ropa,15,65,975,634.12
107,2024-09-04,Primavera,C1538,Premium,Norte,Perú,Ropa,12,134,1608,1123.84
108,2024-09-07,Primavera,C2258,Premium,Sur,Chile,Electrónica,12,140,1680,1118.9
109,2024-07-12,Invierno,C8527,Estándar,Sur,Colombia,Hogar,8,95,760,520.89
110,2024-09-02,Primavera,C6921,Premium,Centro,Colombia,Hogar,12,159,1908,1332.46
111,2025-04-22,Otoño,C8958,Estándar,Centro,Perú,Ropa,10,58,580,402.83
112,2025-09-06,Primavera,C9980,Estándar,Centro,Colombia,Deportes,5,96,480,274.71
113,2025-04-11,Otoño,C3495,Estándar,Norte,Colombia,Deportes,11,110,1210,709.66
114,2024-04-19,Otoño,C5501,Estándar,Centro,Perú,Deportes,9,96,864,532.67
115,2025-09-17,Primavera,C2602,Estándar,Norte,Perú,Electrónica,7,112,784,539.14
116,2024-02-24,Verano,C7703,Económico,Sur,Perú,Electrónica,20,40,800,505.87
117,2024-04-23,Otoño,C3533,Premium,Centro,Perú,Deportes,11,140,1540,883.05
118,2024-04-11,Otoño,C2684,Premium,Centro,Chile,Ropa,11,153,1683,969.11
119,2025-06-27,Invierno,C6000,Premium,Centro,Chile,Electrónica,5,125,625,436.55
120,2024-07-08,Invierno,C7884,Estándar,Norte,Chile,Deportes,1,119,119,70.64
121,2024-08-20,Invierno,C4943,Estándar,Centro,Colombia,Electrónica,8,82,656,424.26
122,2025-04-09,Otoño,C9479,Premium,Centro,Colombia,Deportes,16,146,2336,1529.67
123,2024-12-21,Verano,C1821,Premium,Norte,Colombia,Ropa,10,135,1350,849.3
124,2025-09-13,Primavera,C6373,Económico,Sur,Colombia,Electrónica,9,54,486,327.34
125,2024-10-05,Primavera,C3884,Estándar,Centro,Perú,Hogar,14,73,1022,604.23
126,2024-09-27,Primavera,C1389,Estándar,Centro,Perú,Electrónica,17,91,1547,945.2
127,2025-11-09,Primavera,C2507,Estándar,Norte,Colombia,Deportes,12,101,1212,896.94
128,2024-04-08,Otoño,C4899,Estándar,Centro,Perú,Deportes,14,90,1260,911.56
129,2024-02-03,Verano,C5309,Premium,Centro,Chile,Ropa,24,154,3696,2517.66
130,2024-10-23,Primavera,C8918,Estándar,Norte,Colombia,Hogar,12,113,1356,817.29
131,2024-03-16,Otoño,C6651,Estándar,Centro,Chile,Hogar,9,50,450,333.34
132,2025-04-19,Otoño,C7775,Premium,Norte,Colombia,Hogar,13,105,1365,871.33
133,2025-10-28,Primavera,C9869,Económico,Sur,Chile,Deportes,5,37,185,112.13
134,2025-03-20,Otoño,C6641,Estándar,Norte,Perú,Electrónica,5,87,435,251.35
135,2024-05-08,Otoño,C9737,Estándar,Sur,Chile,Electrónica,12,54,648,419.7
136,2024-08-17,Invierno,C6895,Premium,Sur,Perú,Electrónica,2,122,244,146.16
137,2025-05-13,Otoño,C5885,Estándar,Centro,Perú,Electrónica,6,111,666,489.45
138,2025-05-05,Otoño,C5851,Premium,Norte,Perú,Deportes,17,174,2958,1948.06
139,2025-06-18,Invierno,C8452,Estándar,Norte,Perú,Electrónica,5,100,500,298.3
140,2025-07-21,Invierno,C9013,Económico,Norte,Chile,Hogar,3,57,171,98.12
141,2025-09-21,Primavera,C4017,Económico,Sur,Perú,Deportes,17,68,1156,798.74
142,2024-07-30,Invierno,C5461,Estándar,Norte,Colombia,Hogar,9,96,864,579.74
143,2025-08-25,Invierno,C4058,Estándar,Sur,Chile,Hogar,3,78,234,130.51
144,2025-06-29,Invierno,C4313,Estándar,Sur,Colombia,Ropa,9,64,576,327.15
145,2024-05-05,Otoño,C9555,Estándar,Centro,Colombia,Electrónica,5,89,445,305.1
146,2025-01-06,Verano,C7631,Estándar,Sur,Perú,Electrónica,18,83,1494,991.09
147,2024-10-24,Primavera,C3402,Premium,Norte,Perú,Electrónica,5,186,930,625.71
148,2025-07-01,Invierno,C3329,Estándar,Centro,Colombia,Hogar,10,78,780,508.45
149,2024-09-24,Primavera,C1022,Estándar,Sur,Perú,Hogar,16,67,1072,799.84
150,2025-04-25,Otoño,C9263,Estándar,Sur,Chile,Deportes,11,72,792,464.87
151,2025-03-02,Otoño,C9195,Premium,Centro,Colombia,Ropa,16,186,2976,2112.7
152,2025-01-29,Verano,C3074,Estándar,Centro,Perú,Hogar,17,58,986,723.1
153,2024-03-21,Otoño,C8182,Económico,Centro,Perú,Ropa,5,23,115,70.24
154,2024-10-11,Primavera,C2431,Estándar,Norte,Perú,Hogar,16,61,976,688.97
155,2024-01-27,Verano,C4358,Estándar,Sur,Colombia,Deportes,15,90,1350,826.2
156,2024-12-18,Verano,C5365,Económico,Centro,Perú,Electrónica,14,30,420,277.94
157,2024-10-26,Primavera,C8666,Premium,Sur,Colombia,Hogar,10,181,1810,1293.57
158,2025-07-17,Invierno,C5203,Estándar,Norte,Chile,Electrónica,5,74,370,236.58
159,2024-05-09,Otoño,C2705,Estándar,Sur,Colombia,Deportes,16,67,1072,664.25
160,2025-01-18,Verano,C8243,Estándar,Norte,Chile,Hogar,14,61,854,574.91
161,2024-06-19,Invierno,C4349,Estándar,Sur,Chile,Deportes,3,66,198,123.88
162,2024-06-14,Invierno,C2470,Premium,Norte,Chile,Ropa,2,105,210,143.69
163,2024-06-07,Invierno,C2944,Estándar,Sur,Perú,Deportes,7,99,693,504.76
164,2025-06-29,Invierno,C3192,Premium,Centro,Chile,Ropa,1,100,100,64.56
165,2024-03-21,Otoño,C2393,Premium,Centro,Chile,Deportes,15,157,2355,1552.64
166,2025-07-08,Invierno,C2679,Premium,Centro,Perú,Ropa,4,183,732,486
167,2025-02-15,Verano,C7244,Estándar,Sur,Perú,Deportes,20,113,2260,1292.77
168,2024-02-08,Verano,C5988,Económico,Centro,Colombia,Hogar,16,52,832,518.08
169,2024-02-14,Verano,C8330,Estándar,Norte,Perú,Deportes,20,64,1280,941.92
170,2025-05-10,Otoño,C4003,Estándar,Sur,Chile,Hogar,9,79,711,515.58
171,2025-11-11,Primavera,C8222,Económico,Centro,Perú,Hogar,6,29,174,100.7
172,2024-12-18,Verano,C9980,Económico,Norte,Colombia,Ropa,16,49,784,568.03
173,2025-11-04,Primavera,C2487,Estándar,Norte,Perú,Electrónica,6,69,414,263.55
174,2025-03-27,Otoño,C9759,Estándar,Sur,Perú,Ropa,5,88,440,309.77
175,2025-04-19,Otoño,C7070,Estándar,Centro,Perú,Hogar,8,104,832,573.74
176,2025-12-09,Verano,C9219,Premium,Centro,Colombia,Hogar,17,177,3009,2163.63
177,2025-05-26,Otoño,C2297,Estándar,Sur,Perú,Hogar,12,109,1308,926.76
178,2024-05-04,Otoño,C4924,Estándar,Centro,Chile,Deportes,7,99,693,509.81
179,2024-01-02,Verano,C4997,Premium,Sur,Chile,Ropa,25,123,3075,2058.73
180,2024-12-28,Verano,C6517,Estándar,Centro,Perú,Electrónica,20,102,2040,1392.66
181,2024-02-29,Verano,C8948,Estándar,Centro,Chile,Deportes,18,85,1530,976.26
182,2025-10-26,Primavera,C5647,Estándar,Sur,Colombia,Electrónica,12,70,840,580.87
183,2025-07-31,Invierno,C8314,Estándar,Sur,Chile,Ropa,6,92,552,355.27
184,2025-07-14,Invierno,C2899,Estándar,Norte,Perú,Hogar,5,85,425,263.64
185,2024-03-17,Otoño,C2960,Económico,Norte,Chile,Deportes,5,63,315,215.24
186,2025-04-02,Otoño,C2585,Económico,Centro,Chile,Hogar,17,47,799,594.05
187,2025-09-23,Primavera,C7917,Económico,Norte,Perú,Hogar,14,58,812,569.13
188,2024-08-26,Invierno,C2575,Premium,Sur,Perú,Deportes,5,118,590,417.47
189,2024-05-24,Otoño,C6271,Económico,Norte,Perú,Electrónica,16,64,1024,673.79
190,2025-01-17,Verano,C8064,Estándar,Norte,Colombia,Ropa,13,102,1326,963.61
191,2024-06-09,Invierno,C6403,Estándar,Centro,Chile,Deportes,1,84,84,57.42
192,2024-10-29,Primavera,C2919,Estándar,Centro,Perú,Ropa,6,83,498,309.26
193,2024-08-28,Invierno,C1099,Estándar,Centro,Colombia,Deportes,6,108,648,392.38
194,2024-06-11,Invierno,C6672,Premium,Centro,Colombia,Hogar,10,111,1110,654.01
195,2025-05-02,Otoño,C9282,Premium,Centro,Perú,Ropa,14,162,2268,1409.39
196,2024-06-15,Invierno,C9880,Estándar,Sur,Colombia,Ropa,4,66,264,168.3
197,2025-06-11,Invierno,C9828,Premium,Centro,Chile,Ropa,5,159,795,504.92
198,2025-09-19,Primavera,C4592,Estándar,Sur,Chile,Ropa,10,58,580,388.68
199,2024-03-01,Otoño,C9946,Premium,Norte,Chile,Hogar,6,170,1020,725.96
200,2024-03-15,Otoño,C3854,Económico,Sur,Chile,Ropa,17,25,425,298.75
201,2024-09-03,Primavera,C9034,Premium,Norte,Perú,Ropa,8,148,1184,847.25
202,2024-11-08,Primavera,C2862,Económico,Sur,Chile,Ropa,12,42,504,336.43
203,2024-07-20,Invierno,C2950,Estándar,Sur,Colombia,Electrónica,8,112,896,670.05
204,2024-09-26,Primavera,C4946,Económico,Centro,Perú,Deportes,13,29,377,216.29
205,2024-10-12,Primavera,C1109,Estándar,Centro,Chile,Electrónica,14,81,1134,803.39
206,2025-04-22,Otoño,C1942,Estándar,Norte,Perú,Deportes,16,84,1344,955.27
207,2025-01-03,Verano,C8174,Premium,Sur,Chile,Ropa,25,116,2900,2006.26
208,2025-03-31,Otoño,C5309,Económico,Centro,Perú,Ropa,7,66,462,254.49
209,2025-03-07,Otoño,C2787,Estándar,Centro,Chile,Hogar,9,54,486,359.02
210,2025-09-14,Primavera,C6039,Económico,Norte,Colombia,Hogar,5,39,195,115.31
211,2025-06-20,Invierno,C9492,Premium,Norte,Perú,Ropa,6,111,666,469.41
212,2025-10-13,Primavera,C3618,Estándar,Centro,Colombia,Hogar,7,54,378,283.18
213,2024-10-02,Primavera,C2826,Estándar,Sur,Chile,Hogar,13,51,663,477.03
214,2025-04-04,Otoño,C7443,Estándar,Centro,Colombia,Ropa,16,74,1184,862.81
215,2025-07-10,Invierno,C8028,Estándar,Centro,Colombia,Hogar,9,69,621,424.64
216,2025-11-21,Primavera,C5034,Económico,Centro,Chile,Deportes,8,39,312,194.72
217,2025-12-11,Verano,C3165,Económico,Sur,Colombia,Hogar,15,48,720,426.48
218,2024-10-30,Primavera,C5500,Estándar,Centro,Chile,Hogar,9,94,846,570.37
219,2024-03-25,Otoño,C2222,Económico,Sur,Perú,Ropa,5,58,290,173.16
220,2024-01-26,Verano,C2718,Estándar,Centro,Colombia,Electrónica,16,79,1264,877.66
221,2024-02-02,Verano,C4970,Premium,Centro,Chile,Deportes,33,138,4554,2772.95
222,2025-12-30,Verano,C4786,Estándar,Sur,Chile,Hogar,16,66,1056,595.58
223,2025-04-20,Otoño,C3575,Premium,Centro,Chile,Hogar,14,164,2296,1510.39
224,2025-07-26,Invierno,C6919,Estándar,Centro,Perú,Deportes,8,108,864,572.59
225,2024-11-24,Primavera,C8537,Estándar,Sur,Perú,Hogar,8,74,592,350.42
226,2024-11-20,Primavera,C3462,Económico,Centro,Perú,Ropa,13,39,507,356.82
227,2025-03-02,Otoño,C3365,Premium,Sur,Colombia,Hogar,10,191,1910,1220.33
228,2024-05-07,Otoño,C6060,Estándar,Sur,Perú,Deportes,6,91,546,369.41
229,2024-12-04,Verano,C1848,Estándar,Norte,Chile,Ropa,16,86,1376,849.59
230,2024-12-06,Verano,C4834,Económico,Sur,Chile,Ropa,22,42,924,629.74
231,2025-10-01,Primavera,C4981,Económico,Norte,Chile,Hogar,13,36,468,314.63
232,2024-09-20,Primavera,C8654,Premium,Sur,Perú,Hogar,16,115,1840,1319.42
233,2024-09-26,Primavera,C9764,Estándar,Centro,Colombia,Deportes,7,62,434,324.67
234,2024-11-03,Primavera,C4470,Estándar,Centro,Colombia,Deportes,7,77,539,337.23
235,2025-12-07,Verano,C1747,Estándar,Sur,Perú,Hogar,15,67,1005,560.41
236,2024-05-22,Otoño,C9194,Premium,Norte,Chile,Electrónica,14,165,2310,1373.79
237,2025-05-03,Otoño,C7227,Estándar,Sur,Chile,Ropa,9,98,882,512.15
238,2024-01-07,Verano,C3991,Estándar,Sur,Colombia,Ropa,19,81,1539,1150.54
239,2024-04-09,Otoño,C5890,Premium,Sur,Chile,Hogar,12,138,1656,1174.83
240,2024-11-10,Primavera,C2634,Económico,Norte,Chile,Electrónica,16,65,1040,689.37
241,2025-03-05,Otoño,C6543,Estándar,Norte,Chile,Deportes,13,99,1287,709.45
242,2025-10-07,Primavera,C5195,Premium,Norte,Perú,Hogar,14,145,2030,1150.61
243,2024-02-04,Verano,C8333,Estándar,Centro,Perú,Deportes,25,115,2875,1784.77
244,2024-10-31,Primavera,C5163,Estándar,Norte,Colombia,Hogar,10,70,700,428.47
245,2024-12-28,Verano,C1907,Estándar,Sur,Chile,Deportes,15,108,1620,1164.75
246,2024-03-17,Otoño,C6201,Estándar,Centro,Chile,Deportes,12,63,756,534.6
247,2025-11-14,Primavera,C5674,Económico,Centro,Chile,Ropa,11,68,748,547.29
248,2024-01-30,Verano,C1027,Estándar,Centro,Chile,Ropa,16,103,1648,927.39
249,2025-09-13,Primavera,C8639,Estándar,Sur,Perú,Electrónica,9,50,450,273.96
250,2025-12-08,Verano,C8045,Estándar,Sur,Perú,Electrónica,24,110,2640,1682.32
251,2025-05-07,Otoño,C5098,Premium,Norte,Chile,Ropa,5,180,900,649.87
252,2024-03-06,Otoño,C7122,Premium,Centro,Perú,Ropa,12,108,1296,905.25
253,2025-01-08,Verano,C7980,Premium,Centro,Chile,Ropa,12,182,2184,1276.88
254,2024-11-24,Primavera,C7447,Económico,Centro,Chile,Electrónica,6,64,384,255.67
255,2025-09-08,Primavera,C7163,Estándar,Sur,Perú,Ropa,10,77,770,425.56
256,2024-05-01,Otoño,C9200,Premium,Sur,Perú,Deportes,15,106,1590,1080.1
257,2025-09-24,Primavera,C6169,Premium,Sur,Colombia,Hogar,5,185,925,616.82
258,2025-09-05,Primavera,C9280,Estándar,Norte,Colombia,Ropa,11,97,1067,638.02
259,2025-06-08,Invierno,C2264,Premium,Sur,Chile,Hogar,1,172,172,110.27
260,2024-12-27,Verano,C4302,Estándar,Norte,Colombia,Ropa,8,58,464,343.55
261,2024-04-02,Otoño,C5420,Económico,Norte,Perú,Deportes,6,34,204,136.98
262,2024-07-04,Invierno,C8858,Premium,Norte,Colombia,Deportes,10,195,1950,1262.65
263,2025-12-29,Verano,C3887,Estándar,Norte,Perú,Ropa,12,52,624,348.82
264,2024-01-07,Verano,C2924,Estándar,Sur,Colombia,Deportes,15,54,810,461.98
265,2025-01-25,Verano,C9327,Estándar,Centro,Colombia,Electrónica,15,74,1110,716.71
266,2025-07-09,Invierno,C9473,Premium,Sur,Chile,Ropa,6,133,798,533.35
267,2024-10-08,Primavera,C3472,Estándar,Centro,Perú,Electrónica,8,84,672,393.05
268,2025-10-14,Primavera,C4959,Estándar,Centro,Colombia,Electrónica,13,85,1105,766.6
269,2024-06-01,Invierno,C1636,Estándar,Sur,Colombia,Deportes,5,59,295,195.16
270,2025-02-16,Verano,C4402,Premium,Sur,Chile,Electrónica,15,157,2355,1701.28
271,2025-06-25,Invierno,C5057,Premium,Norte,Chile,Electrónica,3,130,390,266.19
272,2024-12-24,Verano,C9734,Económico,Norte,Perú,Ropa,16,32,512,301.6
273,2024-04-06,Otoño,C9332,Estándar,Norte,Perú,Deportes,9,95,855,570.01
274,2024-04-03,Otoño,C1241,Estándar,Centro,Perú,Hogar,10,60,600,437.57
275,2025-09-22,Primavera,C1286,Premium,Sur,Perú,Hogar,10,197,1970,1421.42
276,2024-06-09,Invierno,C5436,Estándar,Centro,Chile,Electrónica,4,80,320,183.2
277,2025-02-13,Verano,C3902,Estándar,Sur,Chile,Ropa,21,76,1596,955.19
278,2024-02-28,Verano,C5761,Premium,Norte,Colombia,Hogar,13,186,2418,1750.95
279,2025-09-17,Primavera,C1037,Económico,Centro,Perú,Ropa,10,47,470,323.77
280,2025-03-14,Otoño,C9711,Premium,Sur,Colombia,Ropa,8,177,1416,849.28
281,2025-09-22,Primavera,C2752,Estándar,Centro,Perú,Hogar,6,115,690,382.49
282,2024-08-04,Invierno,C7962,Estándar,Norte,Perú,Electrónica,7,108,756,469.11
283,2025-10-17,Primavera,C3185,Estándar,Norte,Colombia,Ropa,10,106,1060,792.15
284,2024-03-07,Otoño,C1408,Estándar,Sur,Perú,Hogar,6,64,384,215.13
285,2024-09-22,Primavera,C2345,Premium,Sur,Chile,Hogar,13,152,1976,1220.81
286,2024-08-02,Invierno,C3494,Estándar,Sur,Perú,Hogar,6,97,582,321.83
287,2025-06-11,Invierno,C1282,Estándar,Centro,Chile,Electrónica,4,102,408,285.97
288,2025-08-23,Invierno,C8493,Estándar,Norte,Perú,Electrónica,2,72,144,102.3
289,2024-12-17,Verano,C2048,Económico,Sur,Colombia,Ropa,18,43,774,506.39
290,2025-02-04,Verano,C8030,Premium,Centro,Chile,Ropa,26,144,3744,2314
291,2024-11-03,Primavera,C6328,Premium,Centro,Colombia,Deportes,9,130,1170,749.35
292,2024-09-20,Primavera,C4188,Económico,Centro,Colombia,Deportes,14,52,728,495.47
293,2025-08-21,Invierno,C2241,Premium,Sur,Chile,Electrónica,1,101,101,64.5
294,2025-11-21,Primavera,C6810,Premium,Centro,Colombia,Ropa,14,187,2618,1621.93
295,2024-08-19,Invierno,C6700,Premium,Centro,Chile,Electrónica,1,103,103,66.56
296,2025-01-16,Verano,C2525,Estándar,Sur,Perú,Deportes,25,94,2350,1676.96
297,2024-04-03,Otoño,C5123,Estándar,Norte,Colombia,Hogar,10,52,520,339.9
298,2025-06-10,Invierno,C6094,Premium,Sur,Chile,Deportes,5,180,900,613.17
